Geografische Bezeichnungen,Geographical names,Dénominations géographiques,,,,,,,,,,
Geowissenschaften,earth science,sciences de la terre,,,,,,,,,,
Geröll,Scree,pierrier,,,,,,,,,,
Gewässer,water (geographic),hydrographie,,,,,,,,,,
Gewässername,River name,nom de cours d'eau,,,,,,,,,,
Gewässernetz,Hydrography,hydrographie,,Gewässerlinie,,,,,,Hydrographie linéaire,,
Gezeiten,tidal,marée,,,,,,,,,,
GIS (Geografisches Information System),GIS (Geographic Information Systems),SIG (Système d'Information Géographique),,,,,,,,,,
Golf,golf,golf,,,,,,,,,,
Grenze,border,bordure,,,,,,,,,,
Grundlage,basis,base,,Basis,,,,,,,,
Grundwassergefährdung,groundwater endangering,risque pour les eaux souterraines,,,,,,,,,,
Grundwasserschutz,groundwater protection,protection des réserves d'eaux souterraines,,,,,,,,,,
Haltestellen des öffentlichen Verkehrs,public transport stops,points d’arrêt de transports publics,,,,,,,,,,
Hangneigung,Gradient,Déclivité,,,,,,,,,,
Hauptstrasse,Main road,Route principale,,,,,,,,,,
Hochspannungsleitung,High-voltage line,Ligne à haute tension,,,,,,,,,,
Hochwasser,flood,crue,,Überflutung,,,high water,,,,,
Höhe,Elevation,altitude,,,,,Height,,,Altimétrie,,
Höhenkote,Spot height,Cote d'altitude,,,,,,,,,,
Höhenkurve,Countour line,courbe de niveau,,Höhenlinie,,,,,,,,
Höhle,caves,grotte,,,,,,,,caverne,,
Hydrogeologie,hydrogeology,hydrogéologie,,,,,,,,,,
Infrastuktur,infrastructure,infrastructure,,,,,,,,,,
Internal combustion,Verbrennungskraftwerk,Combustion interne,,,,,,,,,,
Inventar,register,inventaire,,Register,Kataster,,inventory,,,,,
Isophyse,sophysis,isophyse,,,,,,,,,,
Kanton,canton,canton,,,,,state,,,état,,
Kantonsgrenze,Cantonal boundary,Limite de canton,,,,,,,,limite cantonale,,
Karte,map,carte,,Plan,,,,,,,,
Kartographie,cartography,cartographie,,,,,,,,,,
Kernenergie,Nuclear,énergie nucléaire,,,,,,,,,,
Kirche,church,église,,,,,,,,,,
Kloster,Monastery,Couvent,,,,,,,,monastère,,
Kommunikation,communication,communication,,,,,,,,,,
Konstruktionen im Zusammenhang mit Transport,constructions relating to transport,constructions en liaison avec les transports,,,,,,,,,,
Kraftwerk,power plant,Centrale électrique,,,,,,,,,,
Kreuze,crossings,intersection,,,,,,,,,,
künstlich,artificial,artificiel,,,,,,,,,,
Landeskarte,national map,carte nationale,,,,,,,,,,
Landnutzung,land usage,utilisation du sol,,,,,,,,,,
Landschaft,landscape,paysage,,,,,,,,,,
Landschaftsmodell,landscape model,modèle du territoire,,,,,,,,,,
Laser,laser,laser,,,,,,,,,,
Laserscanning,Laserscanning,Laserscanning,,,,,,,,,,
Lebensraum,habitat,habitat,,,,,,,,,,
Leuchtturm,lighthouse,Phare,,,,,,,,,,
LIDAR (Light Detection And Ranging),LIDAR (Light Detection And Ranging),LIDAR (Light Detection And Ranging),,,,,,,,,,
Luftbild,aerial photograph,photographie aérienne,,,,,,,,,,
Mauern,walls,murs,,,,,,,,,,
Museum,Museum,Musée,,,,,,,,,,
nachhaltig,sustainable,durable,,,,,,,,,,
Name,Name,Nom,,,,,,,,,,
Nationale Mountainbikeroute,Mountainbiking national route,Route nationale de VTT,,,,,,,,,,
Nationale Skatingroute,Skating national route,Itinéraires nationaux de rollers,,,,,,,,,,
Nationale Veloroute,Cycling national route,Route nationale de vélo,,,,,,,,,,
Nationale Wanderroute,Hiking national route,Chemin pédestre national,,,,,,,,,,
Nationalpark,national park,parc national,,,,,,,,,,
Natur,nature,nature,,,,,,,,,,
Nord,north,nord,,,,,,,,,,
Nutzungsplan,use plan,plan d'affectation,,,,,,,,,,
Objekt,object,objet,,,,,,,,,,
Observatorium,Observatory,Observatoire,,,,,,,,,,
Öffentlich,public,public,,,,,,,,,,
Öffentlicher Verkehr,public transport,transport publics,,,,,,,,,,
opendata.swiss,opendata.swiss,opendata.swiss,,,,,,,,,,
Orientierung,orientation,orientation,,,,,,,,,,
Orthofoto,Orthophoto,Orthophoto,,,,,,,,,,
Orthofotografie,Orthoimagery,Ortho-imagerie,,,,,,,,,,
örtlich,local,local,,,,,,,,,,
Ost,east,est,,,,,,,,,,
Pipeline,pipeline,pipeline,,,,,,,,,,
Plan,plan,plan,,,,,,,,,,
Planeinteilung,plan compartmentation,répartition des plans,,,,,,,,,,
Primärfläche,Primary surface,Surface primaire,,,,,,,,,,
Pumpwerk,pumping station,station de pompage,,,,,,,,,,
Quelle,source,source,,,,,,,,,,
Rebbauzone,vineyard zone,zone viticole,,,,,,,,,,
Regierungsstelle,government office,Bâtiment gouvernemental,,,,,,,,,,
regional,regional,régional,,,,,,,,,,
Regionale Mountainbikeroute,Mountainbiking regional route,Route régionale de VTT,,,,,,,,,,
Regionale Skatingroute,Skating regional route,Itinéraires régionaux de rollers,,,,,,,,,,
Regionale Veloroute,Cycling regional route,Route régionale de vélo,,,,,,,,,,
Regionale Wanderroute,Hiking regional route,Chemin pédestre régional,,,,,,,,,,
Relief,relief (land),relief,,,,,,,,,,
Rennbahn,race course,Circuit automobile,,,,,,,,,,
Richtplan,structure plan,plan directeur,,,,,master plan,,,,,
Ruine,Ruins,ruine historique,,,,,,,,,,
Sachplan,sectoral plan,plan sectoriel,,,,,,,,,,
Satellitenbild,satellite image,image satellite,,,,,,,,,,
Schifffahrtslinien,shipping routes,voies navigables,,,,,,,,,,
Schloss,castle,château,,,,,,,,,,
Schule,School,école,,,,,,,,,,
Schummerung,Hillshading,Ombrage,,,,,,,,,,
Schutzgebiet,Protected area,Zone protégée,,,,,Protected site,,,Site protégés,,
Schweiz,Switzerland,Suisse,,,,,,,,,,
Schweiz,Switzerland,Suisse,,,,,,,,,,
See,lake,lac,,,,,,,,,,
Seebodenkurve,Contour in lakes,courbe de niveau du fond des lacs,,,,,,,,,,
Seename,Lake name,nom de lac,,,,,,,,,,
Seilbahn,Cableway,téléphérique,,,,,,,,télécabine, funiculaire,
Selektion markanter Objekte,Selection of prominent landscape,Sélection d'objets marquants,,,,,,,,,,
Siedlung,settlement,zone urbaine,,,,,,,,établissement humain,,
Skitour,Ski tour,Randonnée à ski,,,,,,,,,,
Solar,Solar,solaire,,,,,,,,,,
Spital,Hospital,Hôpital,,,,,,,,,,
Sport,sport,sport,,,,,,,,,,
Sportplatzareal,Sport Facilities,Aire de terrain de sport,,,,,,,,,,
Stadion,Stadium,Stade,,,,,,,,,,
Stehende Gewässer,Stagnant Water,eaux stagnantes,,,,,,,,,,
Strasse,Road,route,,,,,,,,Routes et sentiers,,
Straßennetz,road network,réseau routier,,,,,,,,,,
Straßenverkehr,road traffic,trafic routier,,,,,,,,,,
Subvention,subsidy,subvention,,,,,,,,,,
Süd,South,sud,,,,,,,,,,
Thermalbad,thermal baths,Station thermale,,,,,,,,,,
Thermisch,Thermal,Thermique,,,,,,,,,,
Topografie,Topography,Topographie,,,,,,,,,,
topografisch,topographical,topographique ,,,,,,,,,,
Topografische Karte,Topographic map,Carte topographique,,,,,,,,,,
Transport,transport,transports,,Verkehr,,,traffic,,,,,
Turm,Tower,Tour,,,,,,,,,,
überkommunal,intercommunal,intercommunal,,regional,interkommunal,,,,,,,
Übersicht,overview,aperçu,,Triage,,,,,,vue d'ensemble,,
Uferlinie,Shore line,rive,,,,,,,,,,
Unterschiedliche Namen,Various names,Différents noms,,,,,,,,,,
Vegetation,vegetation,végétation,,,,,,,,,,
Vektor,vector,vecteur,,,,,,,,vecteur,,
verbindlich,binding,obligatoire,,verpflichtend,,,obligatory,mandatory,,,,
Verbindungen verschiedener Verkehrsträger,Access,Liaisons entre les différents réseaux de transport,,,,,,,,,,
Vergnügungspark,amusement park,Parc d’attraction,,,,,,,,,,
Verkehrsinformation zu den Strassen,Traffic Info,Informations sur le trafic routier,,,,,,,,,,
Verkehrsnetz,Traffic network,Réseau de transports,,,,,transport network,,,,,
Wald,forest,forêt,,Gehölz,,,wood,,,bois,,
Wanderweg,hiking trail,sentier de randonnée,,,,,,,,,,
Wasser,water,eau,,,,,,,,,,
Wasserbecken,Water Basins,bassin,,,,,,,,,,
Wasserfälle,Waterfalls,Chutes d’eau,,,,,,,,,,
Wasserkraft,Hydro-electric,hydroéléctrique,,,,,,,,,,
Wasserläufe und Seeumrisse,Watercourses and lake contours,Cours d'eau et contours de lacs,,,,,,,,,,
Weg,Path,Chemin,,,,,Track,,,,,
Wegnetz,Path netwok,Réseau de chemins,,,,,,,,,,
West,West,ouest,,,,,,,,,,
Wichtige Strassenknoten,Interchange,Noeuds routiers importants,,,,,,,,,,
Wind,Wind,éolien,,,,,,,,,,
Windturbine,Wind Turbines,turbine éolienne,,,,,,,,,,
Ziel,aim,but,,,,,goal,,,,,
Zollämter,Customs Office,bureaux de douane,,,,,,,,,,
